"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","17515","","3620","","21135",""
"2","Total Active Cases","154 
(0.88%)","","04 
(0.11%)","","158 
(0.75%)",""
"3","Total Cured/ Discharged","17210 
(98.3%)","","3558 
(98.3%)","","20768 
(98.3%)",""
"4","Total Died","154 
(0.87%)","","58 
(1.60%)","","209 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","17","","0","","17",""
"6","Total Positive cases in Home Isolation","137","","04","","141",""
"7","COVID Care Centre","00","","0","","00",""
"8","Facility Isolation","00","","0","","00",""
"9","No. of Samples Tested (Today)","987","","98","","1085",""
"10","No. of Samples Positive (Today)","37","","00","","37",""
"11","No. of Samples Negative (Today)","947","","98","","1045",""
"12","Repeat Positive/ Resampling (Today)","03","","00","","03",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","111 
          67 
     00 
          18 
          196"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(11/11/2021)","","Test Done Today 
(12/11/2021)","","Cumulative"
"","","a)  RTPCR","218604","","961                   219565","",""
"","","b)  TRUENAT","11007","","03","","11010"
"","","c)  RAT","329366","","121","",""
"","","d)  CBNAAT","147","","0","","147"
"","","TOTAL","559124","","1085","","560209"
