"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","21821","","5000","","26821",""
"2","Total Active Cases","586 
(2.7%)","","439 
(8.8%)","","1025 
(3.8%)",""
"3","Total Cured/ Discharged","21068 
(96.5%)","","4502                                  
(90.04%)","","(95.3%)",""
"4","Total Died","167 
(0.77%)","","59 
(1.2%)","","226 
(0.84%)",""
"5","Total Positive cases admitted in COVID 
Hospital","23","","6","","29",""
"6","Total Positive cases in Home Isolation","456","","432","","888",""
"7","COVID Care Centre","101","","01","","102",""
"8","Facility Isolation","06","","0","","6",""
"9","No. of Samples Tested (Today)","620","","696","","1316",""
"10","No. of Samples Positive (Today)","54","","57","","111",""
"11","No. of Samples Negative (Today)","562","","639","","1201",""
"12","Repeat Positive/ Resampling (Today)","04","","00","","04",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","522 
          00 
      00 
           47 
          569"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(04/01/2022)","","Test Done Today 
(05/02/2022)","","Cumulative"
"","","a)  RTPCR","280987","","1050","","282037"
"","","b)  TRUENAT","11785","","14","","11799"
"","","c)  RAT","344326","","227","","344553"
"","","d)  CBNAAT","429","","25","","454"
"","","TOTAL","637527","","1316","","638843"
