"Total No. of Sample Taken Today","4440"
"Total No. of Positive Cases Detected Today","22"
"Total Active COVID-19 Patients","182"
"Total No. of Active Cases under Home Isolation (30-10-2022)","167"
"Total No. of Samples found Positive till date","1056109"
"Total Positive COVID-19 Patients Recovered / Discharged till date","1045193"
"No. of Deaths","10711"
"Total No. of People Vaccinated Today","239 
(1st Dose: 23 
2nd Dose: 56 
Precaution Dose: 160"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23668717(100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 88% for 15yrs above population)","19817238 (88%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","1933446"
"Cumulative Coverage of Total COVID-19 Vaccination","45419401"
"COVID-19 Today (30-10-2022) Positivity Rate","0.45%"
"Recovery Rate","98.97%"
"Fatality Rate","1.01%"
