"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","663","8","0","19","77"
"2","ALWAR","1402","11","0","15","96"
"3","BANSWARA","180","2","0","6","10"
"4","BARAN","457","1","0","0","6"
"5","BARMER","40","0","0","0","1"
"6","BHARATPUR","164","1","0","6","11"
"7","BHILWARA","276","5","0","4","29"
"8","BIKANER","540","1","0","1","33"
"9","BUNDI","123","0","0","2","10"
"10","CHITTORGARH","245","3","0","7","40"
"11","CHURU","201","0","0","0","0"
"12","DAUSA","563","5","0","5","71"
"13","DHOLPUR","166","0","0","0","14"
"14","DUNGARPUR","27","2","0","9","25"
"15","GANGANAGAR","131","0","0","0","5"
"16","HANUMANGARH","308","3","0","0","8"
"17","JAIPUR","1314","30","0","43","269"
"18","JAISALMER","15","0","0","0","6"
"19","JALORE","190","0","0","0","2"
"20","JHALAWAR","402","0","0","0","7"
"21","JHUNJHUNU","571","0","0","0","3"
"22","JODHPUR","310","21","0","3","127"
"23","KARAULI","154","0","0","0","5"
"24","KOTA","877","5","0","9","54"
"25","NAGAUR","303","3","0","1","19"
"26","PALI","434","0","0","4","20"
