"1","Total Samples taken","17445416"
"2","Sample collected on the day","44315"
"3","Test conducted on the day","43401"
"4","Total No. of patients tested Positive","700222"
"5","No. of patients discharged","635126"
"6","Positive cases on the day","7792"
"7","Number of active Cases","48183"
"8","Total Deaths reported","16913"
"9","No. of Patients on oxygen support","1015"
"10","Patients at critical care Level-3 facilities","302"
"11","Patients who are critical and on ventilator support","98"
"12","Healthcare Workers vaccinated with 1st dose on the day","7"
"13","Total Healthcare Workers vaccinated with 1st dose","218475"
"14","Frontline Workers vaccinated with 1st dose on the day","12"
"15","Total Frontline Workers vaccinated with 1st dose","1115215"
"16","Healthcare Workers vaccinated with 2nd dose on the day","58"
"17","Total Healthcare Workers vaccinated with 2nd dose","184755"
"18","Frontline Workers vaccinated with 2nd dose on the day","307"
"19","Total Frontline Workers vaccinated with 2nd dose","877875"
"20","Above 45 Vaccinated with 1st dose on the day","22290"
"21","Total Above 45 Vaccinated with 1st dose","7142016"
"22","Above 45 Vaccinated with 2nd dose on the day","53846"
"23","Total Above 45 Vaccinated with 2nd dose","4911255"
"24","18-44 years age group Vaccinated with 1st dose on the day","73072"
"25","Total 18-44 years age group Vaccinated with 1st dose","9926416"
"26","18-44 years age group Vaccinated with 2nd dose on the day","122630"
"27","Total 18-44 years age group Vaccinated with 2nd dose","5720384"
"28","15-17 years age group Vaccinated with 1st dose on the day","21730"
"29","Total 15-17 years age group Vaccinated with 1st dose","221690"
"30","Precautionary dose given on the day","7714"
"31","Total Precautionary dose given","81694"
"32","Total Vaccination 1st dose on the day","117111"
"33","Total Vaccination 2nd dose on the day","176841"
"34","Total Vaccination 1st and 2nd dose on the day","293952"
