"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/
Discharged","Cumulative 
Recovered/
Discharged","Active  
case"
"1","AJMER","721881","220","45922","2","422","657","42525","2975"
"2","ALWAR","1424713","408","79081","0","316","1371","71498","7267"
"3","BANSWARA","279815","46","12269","0","104","120","10815","1350"
"4","BARAN","200317","111","13781","0","62","140","12853","866"
"5","BARMER","378640","128","20565","2","195","352","18784","1586"
"6","BHARATPUR","438559","478","29033","0","263","897","25617","3153"
"7","BHILWARA","462459","201","35256","0","157","292","32495","2604"
"8","BIKANER","668190","109","47561","2","565","510","45705","1291"
"9","BUNDI","207166","92","8927","0","50","64","8433","444"
"10","CHITTORGARH","421399","238","26890","0","139","478","25168","1583"
"11","CHURU","382638","160","19234","0","109","243","18267","858"
"12","DAUSA","250950","54","15207","0","69","144","14534","604"
"13","DHOLPUR","255260","113","12776","0","49","60","11836","891"
"14","DUNGARPUR","305707","39","22746","0","133","320","20795","1818"
"15","GANGANAGAR","383721","59","24117","0","153","390","21024","2940"
"16","HANUMANGARH","452692","248","20722","0","113","311","18637","1972"
"17","JAIPUR","2968378","2300","250256","5","2032","2911","225367","22857"
"18","JAISALMER","230015","107","15634","0","68","131","15072","494"
"19","JALORE","418293","6","10378","0","75","12","10073","230"
"20","JHALAWAR","338333","124","16179","2","198","194","15160","821"
"21","JHUNJHUNU","442915","64","16907","0","167","184","15850","890"
"22","JODHPUR","1289325","707","132030","5","1135","1300","126227","4668"
"23","KARAULI","210880","1","8183","1","75","151","7725","383"
