"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22959","","5280","","28239",""
"2","Total Active Cases","03 
(0.01%)","","02 
(0.04%)","","05 
(0.02%)",""
"3","Total Cured/Discharged","22788 
(99.3%)","","5218 
(98.8%)","","28006 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","03","","0","","03",""
"6","Total Positive cases in Home Isolation","00","","02","","02",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","148","","10","","158",""
"10","No. of Samples Positive (Today)","00","","00","","00",""
"11","No. of Samples Negative (Today)","148","","10","","158",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","102 
00 
00 
11 
113"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(17/04/2022)","","Test Done Today 
(18/04/2022)","","Cumulative"
"","","a)RTPCR","318527","","134","","318661"
"","","b)TRUENAT","13351","","13","","13364"
"","","c)RAT","347984","","11","","347995"
"","","d)  CBNAAT","1078","","00","","1078"
"","","TOTAL","680940","","158","","681098"
