,Unnamed: 0,44,Unnamed: 1,मरुादाबाद,Unnamed: 2,0,Unnamed: 3,5,Unnamed: 4,46099,Unnamed: 5,0.1,Unnamed: 6,368,Unnamed: 7,2,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,मजुफ्फरनगर,,0.0,,0.0,,38339.0,,0.0,,277.0,,2.0,,,,,
1,,46,,लसद्धाथ ुनगर,,0.0,,0.0,,11525.0,,0.0,,102.0,,2.0,,,,,
2,,47,,अमठेी,,0.0,,0.0,,11520.0,,0.0,,145.0,,1.0,,,,,
3,,48,,बागपत,,0.0,,2.0,,11073.0,,0.0,,144.0,,1.0,,,,,
4,,49,,बाराबकंी,,0.0,,0.0,,23717.0,,0.0,,227.0,,1.0,,,,,
5,,50,,बरेली,,0.0,,0.0,,50112.0,,0.0,,377.0,,1.0,,,,,
6,,51,,देवररया,,0.0,,0.0,,22409.0,,0.0,,230.0,,1.0,,,,,
7,,52,,गाजीपरु,,0.0,,0.0,,23879.0,,0.0,,295.0,,1.0,,,,,
8,,53,,कौशाम्बी,,1.0,,0.0,,4880.0,,0.0,,72.0,,1.0,,,,,
9,,54,,रामपरु,,0.0,,0.0,,14618.0,,0.0,,153.0,,1.0,,,,,
10,,55,,सतं कबीर नगर,,0.0,,1.0,,8855.0,,0.0,,101.0,,1.0,,,,,
11,,56,,शाहजहांपरु,,1.0,,0.0,,24408.0,,0.0,,447.0,,1.0,,,,,
12,,57,,शामली,,0.0,,0.0,,16704.0,,0.0,,48.0,,1.0,,,,,
13,,58,,श्रावस्ती,,0.0,,1.0,,5237.0,,0.0,,42.0,,1.0,,,,,
14,,59,,सीतापरु,,0.0,,0.0,,15767.0,,0.0,,189.0,,1.0,,,,,
15,,60,,सलु्तानपरु,,0.0,,0.0,,16874.0,,0.0,,144.0,,1.0,,,,,
16,,61,,बदाय,,0.0,,0.0,,17915.0,,0.0,,101.0,,0.0,,,,,
17,,62,,बललया,,0.0,,0.0,,22518.0,,0.0,,246.0,,0.0,,,,,
18,,63,,बलरामपरु,,0.0,,0.0,,8123.0,,0.0,,139.0,,0.0,,,,,
19,,64,,बहराइि,,0.0,,1.0,,13419.0,,0.0,,178.0,,0.0,,,,,
20,,65,,भदोही,,0.0,,0.0,,8488.0,,0.0,,166.0,,0.0,,,,,
21,,66,,गोंडा,,0.0,,0.0,,14164.0,,0.0,,285.0,,0.0,,,,,
22,,67,,हापड़ु,,0.0,,0.0,,15201.0,,0.0,,224.0,,0.0,,,,,
23,,68,,हाथरस,,0.0,,0.0,,3720.0,,0.0,,43.0,,0.0,,,,,
24,,69,,कानपरु देहात,,0.0,,0.0,,7127.0,,0.0,,111.0,,0.0,,,,,
25,,70,,कासगजं,,0.0,,2.0,,4894.0,,0.0,,55.0,,0.0,,,,,
26,,71,,मऊ,,0.0,,0.0,,8941.0,,0.0,,86.0,,0.0,,,,,
27,,72,,लमर्ाुपरु,,0.0,,0.0,,11960.0,,0.0,,126.0,,0.0,,,,,
28,,73,,पीलीभीत,,0.0,,0.0,,12730.0,,0.0,,205.0,,0.0,,,,,
29,,74,,प्रतापगढ़,,0.0,,0.0,,16758.0,,0.0,,163.0,,0.0,,,,,
30,,75,,सहारनपरु,,0.0,,1.0,,38389.0,,0.0,,428.0,,0.0,,,,,
31,,Total,,,,,,,123.0,,152.0,,2054127.0,,1.0,,23518.0,,874.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 23518 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
