"S.No","District","Cumulative 
Sample","Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Dischar
ged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","741858","103","48731","2","432","359","46983","1316"
"2","ALWAR","1464215","188","83405","0","319","390","81200","1886"
"3","BANSWARA","288214","89","13767","0","106","246","12812","849"
"4","BARAN","209271","53","14897","0","63","94","14250","584"
"5","BARMER","387889","27","21282","0","198","70","20665","419"
"6","BHARATPUR","452408","62","31004","0","270","174","30084","650"
"7","BHILWARA","477380","73","37624","1","161","192","36198","1265"
"8","BIKANER","686246","9","49000","0","574","246","47849","577"
"9","BUNDI","214339","30","9590","2","54","82","9240","296"
"10","CHITTORGARH","433518","79","29011","0","140","0","28764","107"
"11","CHURU","395580","88","20260","0","113","156","19590","557"
"12","DAUSA","261689","39","15624","1","75","37","15302","247"
"13","DHOLPUR","262853","4","13560","0","49","77","13165","346"
"14","DUNGARPUR","318113","77","25163","0","134","361","24356","673"
"15","GANGANAGAR","395819","188","27185","0","156","232","25168","1861"
"16","HANUMANGARH","462587","70","22015","0","114","0","21182","719"
"17","JAIPUR","3081718","860","266155","3","2087","1226","255201","8867"
"18","JAISALMER","234825","49","16643","0","68","0","16050","525"
"19","JALORE","426836","3","10495","0","77","10","10347","71"
"20","JHALAWAR","347855","49","17262","0","201","71","16813","248"
"21","JHUNJHUNU","457823","112","18384","0","176","251","17420","788"
"22","JODHPUR","1327381","351","138903","4","1156","755","135650","2097"
"23","KARAULI","219387","24","8606","0","83","39","8333","190"
