"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","403","2","0","2","68"
"2","ALWAR","1130","9","0","28","73"
"3","BANSWARA","219","0","0","0","18"
"4","BARAN","288","0","0","0","5"
"5","BARMER","20","0","0","0","0"
"6","BHARATPUR","117","1","0","4","7"
"7","BHILWARA","109","1","0","0","32"
"8","BIKANER","468","2","0","1","28"
"9","BUNDI","59","0","0","1","11"
"10","CHITTORGARH","166","7","0","5","30"
"11","CHURU","164","0","0","0","0"
"12","DAUSA","619","7","0","6","55"
"13","DHOLPUR","310","0","0","0","8"
"14","DUNGARPUR","175","1","0","1","18"
"15","GANGANAGAR","179","1","0","2","2"
"16","HANUMANGARH","241","1","0","0","10"
"17","JAIPUR","1519","13","0","13","250"
"18","JAISALMER","9","0","0","0","3"
"19","JALORE","38","1","0","0","13"
"20","JHALAWAR","481","0","0","2","1"
"21","JHUNJHUNU","563","0","0","1","0"
"22","JODHPUR","262","7","0","28","76"
"23","KARAULI","253","3","0","0","6"
"24","KOTA","868","6","0","13","48"
"25","NAGAUR","372","0","0","1","14"
"26","PALI","552","5","0","7","18"
