"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","797406","12","50077","0","447","34","49575","55"
"2","ALWAR","1630035","11","84956","0","321","9","84589","46"
"3","BANSWARA","322726","0","14784","0","106","5","14677","1"
"4","BARAN","242507","0","15317","0","64","0","15248","5"
"5","BARMER","406377","0","21481","0","205","10","21272","4"
"6","BHARATPUR","476416","0","31454","0","273","0","31180","1"
"7","BHILWARA","510447","9","38310","0","162","14","38111","37"
"8","BIKANER","761773","37","50499","0","590","16","49752","157"
"9","BUNDI","236898","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","454992","7","29446","0","140","9","29293","13"
"11","CHURU","437923","0","20951","0","115","2","20834","2"
"12","DAUSA","298034","0","15900","0","82","3","15803","15"
"13","DHOLPUR","289915","0","13966","0","49","0","13917","0"
"14","DUNGARPUR","328193","3","25513","0","134","3","25368","11"
"15","GANGANAGAR","423495","0","28189","0","158","1","28022","9"
"16","HANUMANGARH","489532","0","22538","0","115","1","22415","8"
"17","JAIPUR","3483996","42","277860","0","2114","149","275323","423"
"18","JAISALMER","243072","0","17036","0","68","0","16968","0"
"19","JALORE","449331","6","10581","0","78","6","10492","11"
"20","JHALAWAR","416472","3","17774","0","207","2","17558","9"
"21","JHUNJHUNU","494399","0","19161","0","181","0","18980","0"
"22","JODHPUR","1436680","38","141698","0","1164","24","140350","184"
"23","KARAULI","243497","0","8969","0","85","0","8884","0"
