"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","218007","19206867"
"2","Total No. of patients tested Positive","329","759422"
"3","No. of patients discharged","263","741513"
"4","Total Deaths reported","2","17744"
"5","Sample collected on the day","","11330"
"6","Test conducted on the day","","11093"
"7","Positive cases on the day","","21"
"8","Number of active Cases","","165"
"9","No. of Patients on oxygen support","","3"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","2"
"13","Total Healthcare Workers vaccinated with 1st dose","","218529"
"14","Frontline Workers vaccinated with 1st dose on the day","","1"
"15","Total Frontline Workers vaccinated with 1st dose","","1116974"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","4"
"17","Total Healthcare Workers vaccinated with 2nd dose","","209209"
"18","Frontline Workers vaccinated with 2nd dose on the day","","23"
"19","Total Frontline Workers vaccinated with 2nd dose","","1008942"
"20","Above 45 Vaccinated with 1st dose on the day","","111"
"21","Total Above 45 Vaccinated with 1st dose","","8276109"
"22","Above 45 Vaccinated with 2nd dose on the day","","1225"
"23","Total Above 45 Vaccinated with 2nd dose","","6917614"
"24","18-44 years age group Vaccinated with 1st dose on the day","","325"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12449760"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","3184"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9152282"
"28","15-17 years age group Vaccinated with 1st dose on the day","","478"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1010551"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","838"
"31","Total 15-17 years age group Vaccinated with 2nd dose","","561898"
"32","12-14 years age group Vaccinated with 1st dose on the day","","1312"
"33","Total 12-14 years age group Vaccinated with 1st dose","","394989"
"34","12-14 years age group Vaccinated with 2nd dose on the day","","343"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","34069"
"36","Precautionary dose given on the day","","1054"
"37","Total Precautionary dose given","","511919"
"38","Total Vaccination 1st dose on the day","","439"
"39","Total Vaccination 2nd dose on the day","","4436"
"40","Total Vaccination 1st and 2nd dose on the day","","4875"
