"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total
Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","62","109839","38","107527","1","2280","32"
"2","SAS Nagar","54","95745","37","94570","0","1148","27"
"3","Jalandhar","44","78321","32","76732","0","1578","11"
"4","Patiala","23","62060","15","60587","0","1458","15"
"5","Amritsar","15","59410","10","57718","0","1682","10"
"6","Bathinda","10","50881","13","49791","0","1088","2"
"7","Hoshiarpur","36","40874","24","39756","0","1096","22"
"8","Gurdaspur","8","26948","8","26081","1","865","2"
"9","Pathankot","17","24553","13","24046","0","495","12"
"10","Fazilka","3","23401","16","22855","0","545","1"
"11","Muktsar","4","22558","7","22017","0","539","2"
"12","Kapurthala","16","22049","13","21465","0","579","5"
"13","Ropar","3","17941","2","17485","0","455","1"
"14","Ferozepur","6","17905","5","17365","0","537","3"
"15","Mansa","1","17229","1","16837","0","392","0"
"16","Faridkot","9","16795","8","16449","0","338","8"
"17","Sangrur","0","14308","0","13573","0","735","0"
"18","SBS Nagar","9","13411","11","12999","0","407","5"
"19","FG Sahib","5","11839","1","11481","0","354","4"
"20","Moga","1","10988","2","10733","0","254","1"
"21","Tarn Taran","1","10900","0","10505","0","394","1"
"22","Barnala","2","7500","7","7150","0","349","1"
"23","Malerkotla","0","3967","0","3791","0","176","0"
"","Total","329","759422","263","741513","2","17744","165"
