,Unnamed: 0,Unnamed: 0.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
0,0,0,2021-11-05,KA,214.0,7.0,286.0,80145,7534,26815,0,0,1795.0,41.0,2192.0,560495.0,245456.0,559745.0,0.0,Bagalkote,2,0,0,,82,33,0,0,2.0,0.0,-1.0,,9757.0,3901.0,0,1890826,,,0.0 cases were recorded as Deaths due to Non Covid Reasons,35180.0,333.0,34842.0,,1190837,616016,0,0.0,2022-01-22T01:23:54.406423+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,2989489.0,38102.0,2943170.0,51217791.0,42652767,23239159,0,29.0,29.0,0.0
1,1,1,2021-11-05,KA,214.0,7.0,286.0,80145,7534,26815,0,0,1795.0,41.0,2192.0,560495.0,245456.0,559745.0,0.0,Ballari,0,0,0,,668,197,0,0,5.0,-3.0,14.0,,23054.0,19181.0,0,2532383,,,0.0 cases were recorded as Deaths due to Non Covid Reasons,97767.0,1686.0,95970.0,,1772140,878130,0,0.0,2022-01-22T01:23:54.406423+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,2989489.0,38102.0,2943170.0,51217791.0,42652767,23239159,0,29.0,29.0,0.0
2,2,2,2021-11-05,KA,214.0,7.0,286.0,80145,7534,26815,0,0,1795.0,41.0,2192.0,560495.0,245456.0,559745.0,0.0,Belagavi,3,0,2,,103,789,0,0,34.0,0.0,32.0,,18646.0,34504.0,0,4778439,,,0.0 cases were recorded as Deaths due to Non Covid Reasons,79919.0,938.0,78905.0,,3177337,1410806,0,0.0,2022-01-22T01:23:54.406423+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,2989489.0,38102.0,2943170.0,51217791.0,42652767,23239159,0,29.0,29.0,0.0
3,3,3,2021-11-05,KA,214.0,7.0,286.0,80145,7534,26815,0,0,1795.0,41.0,2192.0,560495.0,245456.0,559745.0,0.0,Bengaluru Rural,3,0,4,,115,1618,0,0,17.0,-1.0,23.0,,1979.0,14408.0,0,987257,,,0.0 cases were recorded as Deaths due to Non Covid Reasons,62016.0,889.0,61089.0,,702211,395893,0,0.0,2022-01-22T01:23:54.406423+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,2989489.0,38102.0,2943170.0,51217791.0,42652767,23239159,0,29.0,29.0,0.0
4,4,4,2021-11-05,KA,214.0,7.0,286.0,80145,7534,26815,0,0,1795.0,41.0,2192.0,560495.0,245456.0,559745.0,0.0,Bengaluru Urban,118,1,117,,1995,12172,0,0,963.0,23.0,1102.0,,24264.0,134653.0,0,9588910,,,1.0 cases were recorded as Deaths due to Non Covid Reasons,1252532.0,16293.0,1229857.0,,9235152,5989218,0,1.0,2022-01-22T01:23:54.406423+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,2989489.0,38102.0,2943170.0,51217791.0,42652767,23239159,0,29.0,29.0,1.0
5,5,5,2021-11-05,KA,214.0,7.0,286.0,80145,7534,26815,0,0,1795.0,41.0,2192.0,560495.0,245456.0,559745.0,0.0,Bidar,0,0,0,,128,406,0,0,1.0,0.0,3.0,,5936.0,11260.0,0,1700018,,,4.0 cases were recorded as Deaths due to Non Covid Reasons,24341.0,400.0,23936.0,,933673,523273,0,4.0,2022-01-22T01:23:54.406423+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,2989489.0,38102.0,2943170.0,51217791.0,42652767,23239159,0,29.0,29.0,4.0
6,6,6,2021-11-05,KA,214.0,7.0,286.0,80145,7534,26815,0,0,1795.0,41.0,2192.0,560495.0,245456.0,559745.0,0.0,Chamarajanagara,0,0,3,,27,700,0,0,2.0,2.0,17.0,,704.0,10334.0,0,1020962,,,11.0 cases were recorded as Deaths due to Non Covid Reasons,33002.0,502.0,32480.0,,648386,359139,0,11.0,2022-01-22T01:23:54.406423+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,2989489.0,38102.0,2943170.0,51217791.0,42652767,23239159,0,29.0,29.0,11.0
7,7,7,2021-11-05,KA,214.0,7.0,286.0,80145,7534,26815,0,0,1795.0,41.0,2192.0,560495.0,245456.0,559745.0,0.0,Chikkaballapura,4,0,0,,24,161,0,0,11.0,4.0,9.0,,885.0,3327.0,0,1254377,,,1.0 cases were recorded as Deaths due to Non Covid Reasons,43957.0,431.0,43510.0,,853051,500083,0,1.0,2022-01-22T01:23:54.406423+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,2989489.0,38102.0,2943170.0,51217791.0,42652767,23239159,0,29.0,29.0,1.0
8,8,8,2021-11-05,KA,214.0,7.0,286.0,80145,7534,26815,0,0,1795.0,41.0,2192.0,560495.0,245456.0,559745.0,0.0,Chikkamagaluru,2,0,6,,36,98,0,0,15.0,1.0,28.0,,1157.0,5584.0,0,1137753,,,0.0 cases were recorded as Deaths due to Non Covid Reasons,51136.0,396.0,50683.0,,738247,350325,0,0.0,2022-01-22T01:23:54.406423+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,2989489.0,38102.0,2943170.0,51217791.0,42652767,23239159,0,29.0,29.0,0.0
9,9,9,2021-11-05,KA,214.0,7.0,286.0,80145,7534,26815,0,0,1795.0,41.0,2192.0,560495.0,245456.0,559745.0,0.0,Chitradurga,3,0,4,,388,403,0,0,14.0,0.0,22.0,,17409.0,19584.0,0,1660378,,,0.0 cases were recorded as Deaths due to Non Covid Reasons,36676.0,206.0,36430.0,,1029630,628529,0,0.0,2022-01-22T01:23:54.406423+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,2989489.0,38102.0,2943170.0,51217791.0,42652767,23239159,0,29.0,29.0,0.0
