"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","18078","","3657","","21735",""
"2","Total Active Cases","226 
(1.25%)","","21 
(0.57%)","","247 
(1.14%)",""
"3","Total Cured/ Discharged","17695 
(97.9%)","","3578                                  
(97.8%)","","(97.9%)",""
"4","Total Died","157 
(0.87%)","","58 
(1.6%)","","215 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","12","","00","","12",""
"6","Total Positive cases in Home Isolation","182","","21","","203",""
"7","COVID Care Centre","18","","0","","18",""
"8","Facility Isolation","14","","0","","14",""
"9","No. of Samples Tested (Today)","736","","311","","1047",""
"10","No. of Samples Positive (Today)","12","","00","","12",""
"11","No. of Samples Negative (Today)","724","","311","","1035",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","196 
           00 
       00 
           06 
          202"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(06/12/2021)","","Test Done Today 
(07/12/2021)","","Cumulative"
"","","a)  RTPCR","237009","","833","","237842"
"","","b)  TRUENAT","11097","","01","","11098"
"","","c)  RAT","333919","","213","","334132"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","582197","","1047","","583244"
