"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1236813","20227276"
"2","Total No. of patients tested Positive","13434","773995"
"3","No. of patients discharged","10219","750494"
"4","Total Deaths reported","74","20380"
"5","Sample collected on the day","","10591"
"6","Test conducted on the day","","9974"
"7","Positive cases on the day","","467"
"8","Number of active Cases","","3121"
"9","No. of Patients on oxygen support","","86"
"10","Patients at critical care Level-3 facilities","","14"
"11","Patients who are critical and on ventilator support","","2"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218792"
"14","Frontline Workers vaccinated with 1st dose on the day","","0"
"15","Total Frontline Workers vaccinated with 1st dose","","1117703"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","7"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211508"
"18","Frontline Workers vaccinated with 2nd dose on the day","","11"
"19","Total Frontline Workers vaccinated with 2nd dose","","1017484"
"20","Above 45 Vaccinated with 1st dose on the day","","15"
"21","Total Above 45 Vaccinated with 1st dose","","8337614"
"22","Above 45 Vaccinated with 2nd dose on the day","","558"
"23","Total Above 45 Vaccinated with 2nd dose","","7586794"
"24","18-44 years age group Vaccinated with 1st dose on the day","","194"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12628246"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","1076"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10537419"
"28","15-17 years age group Vaccinated with 1st dose on the day","","36"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1102584"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","106"
"31","Total 15-17 years age group Vaccinated with 2nddose","","826237"
"32","12-14 years age group Vaccinated with 1st dose on the day","","104"
"33","Total 12-14 years age group Vaccinated with 1st dose","","641197"
"34","12-14 years age group Vaccinated with 2nddose on the day","","154"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","426121"
"36","Precautionary dose given on the day","","2493"
"37","Total Precautionary dose given","","1087074"
"38","Total Vaccination 1st dose on the day","","209"
"39","Total Vaccination 2nd dose on the day","","1652"
"40","Total Vaccination 1st and 2nd dose on the day","","1861"
