"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1714291*","20704755*"
"2","Total No. of patients tested Positive","23856","784384"
"3","No. of patients discharged","23331","763605"
"4","Total Deaths reported","194","20499"
"5","Sample collected on the day","","7713"
"6","Test conducted on the day","","7353"
"7","Positive cases on the day","","36"
"8","Number of active Cases","","280"
"9","No. of Patients on oxygen support","","4"
"10","Patients at critical care Level-3 facilities","","2"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218879"
"14","Frontline Workers vaccinated with 1st dose on the day","","1"
"15","Total Frontline Workers vaccinated with 1st dose","","1117924"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","1"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211917"
"18","Frontline Workers vaccinated with 2nd dose on the day","","9"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019140"
"20","Above 45 Vaccinated with 1st dose on the day","","66"
"21","Total Above 45 Vaccinated with 1st dose","","8346022"
"22","Above 45 Vaccinated with 2nd dose on the day","","305"
"23","Total Above 45 Vaccinated with 2nd dose","","7648538"
"24","18-44 years age group Vaccinated with 1st dose on the day","","303"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12658663"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","944"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10686087"
"28","15-17 years age group Vaccinated with 1st dose on the day","","82"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1113830"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","346"
"31","Total 15-17 years age group Vaccinated with 2nddose","","858847"
"32","12-14 years age group Vaccinated with 1st dose on the day","","453"
"33","Total 12-14 years age group Vaccinated with 1st dose","","673760"
"34","12-14 years age group Vaccinated with 2nd dose on the day","","759"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","475167"
"36","Precautionary dose given on the day","","6119"
"37","Total Precautionary dose given","","1724000"
"38","Total Vaccination 1st dose on the day","","371"
"39","Total Vaccination 2nd dose on the day","","1259"
"40","Total Vaccination 1st and 2nd dose on the day","","1630"
