"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","256"
"2","Number of persons tested positive today in Tamil Nadu","37"
"","Passengers returned from other countries  by 
International airport tested positive today","Singapore-1"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Maharashtra-1"
"","Total","39"
"3","Total Number of persons tested positive till date","34,53,390"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","18,825/ 
6,60,00,113@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","18,816/ 
6,48,23,404"
"6","No. of Male / Female / Transgender tested positive today","23/16/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,434/14,37,918/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","335 (69 Govt+ 
266 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","26/ 
34,15,109"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
