"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1868722","20859186"
"2","Total No. of patients tested Positive","24416","784944"
"3","No. of patients discharged","24031","764305"
"4","Total Deaths reported","205","20510"
"5","Sample collected on the day","","5108"
"6","Test conducted on the day","","4764"
"7","Positive cases on the day","","9"
"8","Number of active Cases","","129"
"9","No. of Patients on oxygen support","","3"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","1"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218889"
"14","Frontline Workers vaccinated with 1st dose on the day","","0"
"15","Total Frontline Workers vaccinated with 1st dose","","1117946"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","1"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211986"
"18","Frontline Workers vaccinated with 2nd dose on the day","","3"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019318"
"20","Above 45 Vaccinated with 1st dose on the day","","26"
"21","Total Above 45 Vaccinated with 1st dose","","8346910"
"22","Above 45 Vaccinated with 2nd dose on the day","","102"
"23","Total Above 45 Vaccinated with 2nd dose","","7652806"
"24","18-44 years age group Vaccinated with 1st dose on the day","","106"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12662429"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","772"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10701307"
"28","15-17 years age group Vaccinated with 1st dose on the day","","49"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1114898"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","246"
"31","Total 15-17 years age group Vaccinated with 2nddose","","864141"
"32","12-14 years age group Vaccinated with 1st dose on the day","","255"
"33","Total 12-14 years age group Vaccinated with 1st dose","","679993"
"34","12-14 years age group Vaccinated with 2nddose on the day","","830"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","489607"
"36","Precautionary dose given on the day","","1765"
"37","Total Precautionary dose given","","1795200"
"38","Total Vaccination 1st dose on the day","","132"
"39","Total Vaccination 2nd dose on the day","","878"
"40","Total Vaccination 1st and 2nd dose on the day","","1010"
