"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","755180","57","49452","1","441","44","48550","461"
"2","ALWAR","1499573","37","84217","0","319","86","83433","465"
"3","BANSWARA","293857","44","14370","0","106","138","13791","473"
"4","BARAN","214422","10","15144","0","64","40","14944","136"
"5","BARMER","391785","5","21386","0","203","16","20968","215"
"6","BHARATPUR","459901","15","31311","0","272","54","30871","168"
"7","BHILWARA","485163","13","38017","0","161","30","37579","277"
"8","BIKANER","698233","23","49580","0","581","36","48766","233"
"9","BUNDI","218787","5","9708","0","55","5","9626","27"
"10","CHITTORGARH","439618","11","29277","0","140","0","29065","72"
"11","CHURU","404714","26","20601","0","114","44","20341","146"
"12","DAUSA","269461","6","15736","0","77","13","15575","84"
"13","DHOLPUR","267518","8","13704","0","49","11","13545","110"
"14","DUNGARPUR","322308","8","25442","0","134","29","25214","94"
"15","GANGANAGAR","404967","41","27907","1","158","72","27266","483"
"16","HANUMANGARH","470009","10","22323","0","114","0","22103","106"
"17","JAIPUR","3155254","333","271194","3","2106","752","265609","3479"
"18","JAISALMER","237560","1","16941","0","68","60","16697","176"
"19","JALORE","431635","10","10513","0","78","3","10420","15"
"20","JHALAWAR","354795","18","17579","0","206","22","17265","108"
"21","JHUNJHUNU","467503","25","18919","0","179","39","18422","318"
"22","JODHPUR","1349771","89","140292","1","1162","115","138799","331"
"23","KARAULI","224912","23","8840","0","83","22","8624","133"
