"S. No","Subject","Number"
"1","Total Number of people vaccinated on 21st Feb","31,406"
"2","First Dose on 21st Feb","1,960"
"3","Second Dose on 21st Feb","26,973"
"4","Precaution Dose on 21st Feb","2,473"
"5","Cumulative Vaccination till 21st Feb","12,77,20,601"
"6","Cumulative Vaccination First Dose","6,95,71,480"
"7","Cumulative Vaccination Second Dose","5,66,16,130"
"8","Cumulative Precaution Dose","15,32,991"
"9","Number of CVC (Common Vaccination Centres)","1,061"
"10","Cumulative AEFI cases reported","6,938"
"11","Vaccine wastage","-7%"
