"1","2","3","4","5","6 = 3-4-5","7"
"S. No","District","Total Cases","Total Discharged","Total Deaths","Total Active 
Cases","Last Reported 
Case"
"1","Alipurduar","18,875+8","18,614+43","110","151-35","20-Feb-22"
"2","Coochbehar","33,942+4","33,707+38","106","129-34","20-Feb-22"
"3","Darjeeling","68,966+5","68,153+64","598+1","215-60","20-Feb-22"
"4","Kalimpong","8,501+1","8,399+13","58+1","44-13","20-Feb-22"
"5","Jalpaiguri","49,547+6","48,695+60","647","205-54","20-Feb-22"
"6","Uttar Dinajpur","25,095+1","24,757+21","267","71-20","20-Feb-22"
"7","Dakshin Dinajpur","23,050+11","22,736+33","193","121-22","20-Feb-22"
"8","Malda","44,395+4","44,037+47","199","159-43","20-Feb-22"
"9","Murshidabad","41,598+4","41,140+29","356","102-25","20-Feb-22"
"10","Nadia","87,548+12","86,351+74","942+2","255-64","20-Feb-22"
"11","Birbhum","57,648+4","57,100+59","350","198-55","20-Feb-22"
"12","Purulia","24,196+5","24,014+17","122","60-12","20-Feb-22"
"13","Bankura","43,836+5","43,397+45","286","153-40","20-Feb-22"
"14","Jhargram","15,535+2","15,455+15","30","50-13","20-Feb-22"
"15","Paschim Medinipur","62,504+8","61,822+44","529","153-36","20-Feb-22"
"16","Purba Medinipur","67,795+1","67,278+22","441","76-21","20-Feb-22"
"17","Purba Bardhaman","55,362+5","54,977+43","238","147-38","20-Feb-22"
"18","Paschim Bardhaman","75,582+5","75,002+44","432+1","148-40","20-Feb-22"
"19","Howrah","1,24,936+4","1,23,130+50","1,638","168-46","20-Feb-22"
"20","Hooghly","1,07,879+7","1,06,565+57","1,119","195-50","20-Feb-22"
"21","North 24 Parganas","4,02,757+41","3,96,743+195","5,331+4","683-158","20-Feb-22"
"22","South 24 Parganas","1,27,170+14","1,25,397+76","1,507+1","266-63","20-Feb-22"
"23","Kolkata","4,46,770+43","4,40,435+197","5,641+1","694-155","20-Feb-22"
"24","Other State","66","63","3","0","6-Jun-20"
"TOTAL","","20,13,553+200","19,87,967+1,286","21,143+11","4,443-1,097",""
