"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","7,680"
"2","Number of persons tested positive today in Tamil Nadu","775"
"3","Total Number of persons tested positive till date","35,58,029"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","25,948/ 
6,85,01,756@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","25,592/ 
6,72,92,645"
"6","No. of Male / Female / Transgender tested positive today","463/312/0"
"7","No. of Male / Female / Transgender tested positive till date","20,74,770/14,83,221/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","348 (78 Govt+ 
270  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,067/ 
35,12,316"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,033"
