"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","786526","3","49748","0","447","0","49289","12"
"2","ALWAR","1605989","12","84578","0","320","4","84199","59"
"3","BANSWARA","317242","0","14765","0","106","0","14659","0"
"4","BARAN","234652","0","15259","0","64","0","15185","10"
"5","BARMER","403047","0","21454","0","205","0","21249","0"
"6","BHARATPUR","476246","0","31451","0","272","0","31179","0"
"7","BHILWARA","506534","0","38181","0","162","0","38019","0"
"8","BIKANER","740424","1","49923","0","586","1","49325","12"
"9","BUNDI","233303","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","451549","0","29377","0","140","0","29237","0"
"11","CHURU","433854","0","20831","0","114","6","20711","6"
"12","DAUSA","290795","6","15803","0","80","0","15710","13"
"13","DHOLPUR","283692","1","13932","0","49","2","13869","14"
"14","DUNGARPUR","327662","0","25498","0","134","0","25363","1"
"15","GANGANAGAR","422299","0","28143","0","158","1","27982","3"
"16","HANUMANGARH","488095","0","22518","0","114","0","22404","0"
"17","JAIPUR","3404960","28","275635","0","2112","41","273218","305"
"18","JAISALMER","242315","0","17036","0","68","0","16968","0"
"19","JALORE","444586","0","10546","0","78","0","10467","1"
"20","JHALAWAR","392612","0","17715","0","207","2","17504","4"
"21","JHUNJHUNU","492125","0","19158","0","181","0","18977","0"
"22","JODHPUR","1418980","1","141109","0","1164","0","139936","9"
"23","KARAULI","237741","0","8968","0","84","0","8884","0"
