"Total No. of Sample Taken Today","14453"
"Total No. of Positive Cases Detected Today","230"
"Total Active COVID-19 Patients","1039"
"Total No. of Active Cases under Home Isolation (24-05-2022)","1016"
"Total No. of Samples found Positive till date","1001262"
"Total Positive COVID-19 Patients Recovered / Discharged till date","989579"
"No. of Deaths","10621"
"Total No. of People Vaccinated Today","24623 
(1st Dose: 4981 
2nd Dose: 11767 
Precaution Dose: 7875"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23506945 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 86% for 15yrs above population)","19176488 (86%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","627991"
"Cumulative Coverage of Total COVID-19 Vaccination","43311424"
"COVID-19 Today (24-05-2022) Positivity Rate","2.07%"
"Recovery Rate","98.83%"
"Fatality Rate","1.06%"
