"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","24053","","5338","","29391",""
"2","Total Active Cases","10 
(0.04%)","","00 
(0%)","","10 
(0.03%)",""
"3","Total Cured/Discharged","23872 
(99.25%)","","5278 
(98.9%)","","29150 
(99.18%)",""
"4","Total Died","171 
(0.71%)","","60 
(1.1%)","","231 
(0.78%)",""
"5","Total Positive cases admitted in COVID 
Hospital","03","","00","","03",""
"6","Total Positive cases in Home Isolation","07","","00","","07",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","87","","06","","93",""
"10","No. of Samples Positive (Today)","01","","00","","01",""
"11","No. of Samples Negative (Today)","86","","06","","92",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","40 
00 
00 
00 
40"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(30/10/2022)","","Test Done Today 
(31/10/2022)","","Cumulative"
"","","a)RTPCR","341315","","55","","341370"
"","","b)TRUENAT","15595","","04","","15599"
"","","c)RAT","364432","","34","","364466"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","722567","","93","","722660"
