"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative
Positive","Today's
Death","Cumulative
Death","Today's
Recovered/ 
Discharged","Cumulative
Recovered/ 
Discharged","Active 
Case"
"1","AJMER","784917","2","49736","0","446","2","49282","8"
"2","ALWAR","1600164","2","84497","0","320","6","84155","22"
"3","BANSWARA","315960","0","14763","0","106","0","14657","0"
"4","BARAN","233238","0","15249","0","64","2","15185","0"
"5","BARMER","402335","0","21454","0","205","0","21249","0"
"6","BHARATPUR","476224","0","31451","0","272","0","31178","1"
"7","BHILWARA","505671","1","38181","0","162","0","38017","2"
"8","BIKANER","737079","1","49908","0","586","0","49317","5"
"9","BUNDI","232261","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","450769","0","29377","0","140","1","29236","1"
"11","CHURU","433028","0","20819","0","114","0","20705","0"
"12","DAUSA","289447","3","15786","0","80","0","15695","11"
"13","DHOLPUR","281616","0","13830","0","49","16","13739","42"
"14","DUNGARPUR","327482","0","25497","0","134","0","25363","0"
"15","GANGANAGAR","421948","0","28139","0","158","1","27980","1"
"16","HANUMANGARH","487611","1","22518","0","114","0","22402","2"
"17","JAIPUR","3384780","45","275196","0","2112","60","272694","390"
"18","JAISALMER","242103","0","17036","0","68","0","16968","0"
"19","JALORE","443609","0","10545","0","78","0","10467","0"
"20","JHALAWAR","389414","0","17707","0","207","0","17500","0"
"21","JHUNJHUNU","491604","0","19158","0","181","0","18977","0"
"22","JODHPUR","1415609","1","141099","0","1164","3","139929","6"
"23","KARAULI","237105","0","8968","0","84","0","8884","0"
"24","KOTA","1116874","0","70097","0","477","0","69615","5"
"25","NAGAUR","639457","0","23645","0","200","0","23440","5"
"26","PALI","460923","0","35850","0","298","0","35552","0"
"27","PRATAPGARH","277164","0","11874","0","65","0","11809","0"
"28","RAJSAMAND","300323","0","23028","0","178","0","22848","2"
