"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1837847","20828311"
"2","Total No. of patients tested Positive","24329","784857"
"3","No. of patients discharged","23896","764170"
"4","Total Deaths reported","205","20510"
"5","Sample collected on the day","","6764"
"6","Test conducted on the day","","6651"
"7","Positive cases on the day","","24"
"8","Number of active Cases","","177"
"9","No. of Patients on oxygen support","","7"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","3"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218886"
"14","Frontline Workers vaccinated with 1st dose on the day","","0"
"15","Total Frontline Workers vaccinated with 1st dose","","1117945"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","1"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211972"
"18","Frontline Workers vaccinated with 2nd dose on the day","","7"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019294"
"20","Above 45 Vaccinated with 1st dose on the day","","29"
"21","Total Above 45 Vaccinated with 1st dose","","8346791"
"22","Above 45 Vaccinated with 2nd dose on the day","","171"
"23","Total Above 45 Vaccinated with 2nd dose","","7652261"
"24","18-44 years age group Vaccinated with 1st dose on the day","","123"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12661918"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","800"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10698717"
"28","15-17 years age group Vaccinated with 1st dose on the day","","48"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1114713"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","230"
"31","Total 15-17 years age group Vaccinated with 2nddose","","863048"
"32","12-14 years age group Vaccinated with 1st dose on the day","","303"
"33","Total 12-14 years age group Vaccinated with 1st dose","","678769"
"34","12-14 years age group Vaccinated with 2nddose on the day","","481"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","486742"
"36","Precautionary dose given on the day","","2343"
"37","Total Precautionary dose given","","1784609"
"38","Total Vaccination 1st dose on the day","","152"
"39","Total Vaccination 2nd dose on the day","","979"
"40","Total Vaccination 1st and 2nd dose on the day","","1131"
