"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1313803","20304266"
"2","Total No. of patients tested Positive","16525","777086"
"3","No. of patients discharged","13407","753682"
"4","Total Deaths reported","89","20395"
"5","Sample collected on the day","","11228"
"6","Test conducted on the day","","10771"
"7","Positive cases on the day","","424"
"8","Number of active Cases","","3009"
"9","No. of Patients on oxygen support","","107"
"10","Patients at critical care Level-3 facilities","","21"
"11","Patients who are critical and on ventilator support","","3"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218814"
"14","Frontline Workers vaccinated with 1st dose on the day","","3"
"15","Total Frontline Workers vaccinated with 1st dose","","1117771"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","2"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211605"
"18","Frontline Workers vaccinated with 2nd dose on the day","","10"
"19","Total Frontline Workers vaccinated with 2nd dose","","1017837"
"20","Above 45 Vaccinated with 1st dose on the day","","24"
"21","Total Above 45 Vaccinated with 1st dose","","8338877"
"22","Above 45 Vaccinated with 2nd dose on the day","","284"
"23","Total Above 45 Vaccinated with 2nd dose","","7603122"
"24","18-44 years age group Vaccinated with 1st dose on the day","","321"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12633833"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","677"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10575350"
"28","15-17 years age group Vaccinated with 1st dose on the day","","52"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1104766"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","120"
"31","Total 15-17 years age group Vaccinated with 2nd dose","","833425"
"32","12-14 years age group Vaccinated with 1st dose on the day","","608"
"33","Total 12-14 years age group Vaccinated with 1st dose","","648682"
"34","12-14 years age group Vaccinated with 2nd dose on the day","","204"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","435957"
"36","Precautionary dose given on the day","","1968"
"37","Total Precautionary dose given","","1213258"
"38","Total Vaccination 1st dose on the day","","349"
"39","Total Vaccination 2nd dose on the day","","973"
"40","Total Vaccination 1st and 2nd dose on the day","","1322"
