"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","8,244"
"2","Number of persons tested positive today in Tamil Nadu","718"
"","Passengers returned from other states  by Road tested 
positive today","Bihar-2"
"","Total","720"
"3","Total Number of persons tested positive till date","27,26,917"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,00,048/ 
5,42,70,347@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","99,795/ 
5,33,37,947"
"6","No. of Male / Female / Transgender tested positive today","426/294/0"
"7","No. of Male / Female / Transgender tested positive till date","15,91,643/11,35,236/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","312 (69 Govt+ 
243 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","758/ 
26,82,192"
"10","Total number of deaths today/ till date","9(4 Private &  
5 Govt) /36,481)"
