"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","164","16","0","44","190"
"2","ALWAR","178","16","0","130","722"
"3","BANSWARA","2","3","0","5","21"
"4","BARAN","45","0","0","3","6"
"5","BARMER","10","0","0","6","2"
"6","BHARATPUR","149","59","0","25","348"
"7","BHILWARA","209","0","0","11","28"
"8","BIKANER","173","2","0","10","38"
"9","BUNDI","19","7","0","9","53"
"10","CHITTORGARH","28","0","0","65","182"
"11","CHURU","334","0","0","1","2"
"12","DAUSA","63","0","0","1","148"
"13","DHOLPUR","5","0","0","0","19"
"14","DUNGARPUR","6","0","0","22","79"
"15","GANGANAGAR","5","0","0","0","8"
"16","HANUMANGARH","8","0","0","2","8"
"17","JAIPUR","861","181","0","299","1497"
"18","JAISALMER","79","0","0","13","29"
"19","JALORE","2","0","0","7","17"
"20","JHALAWAR","16","1","0","4","29"
"21","JHUNJHUNU","100","0","0","0","1"
"22","JODHPUR","161","5","0","25","127"
"23","KARAULI","26","0","0","0","1"
"24","KOTA","138","4","0","9","77"
"25","NAGAUR","19","18","0","20","103"
"26","PALI","153","19","0","15","67"
