"Total No. of Sample Taken Today","5889"
"Total No. of Positive Cases Detected Today","19"
"Total Active COVID-19 Patients","152"
"Total No. of Active Cases under Home Isolation (04-11-2022)","135"
"Total No. of Samples found Positive till date","1056257"
"Total Positive COVID-19 Patients Recovered / Discharged till date","1045370"
"No. of Deaths","10712"
"Total No. of People Vaccinated Today","1139 
(1st Dose: 127 
2nd Dose: 192 
Precaution Dose: 820)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23669135 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 88% for 15yrs above population)","19818213 (88%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","1935529"
"Cumulative Coverage of Total COVID-19 Vaccination","45422877"
"COVID-19 Today (04-11-2022) Positivity Rate","0.34%"
"Recovery Rate","98.97%"
"Fatality Rate","1.01%"
