,Unnamed: 0,44,Unnamed: 1,श्रावस्ती,Unnamed: 2,1,Unnamed: 3,0,Unnamed: 4,5236,Unnamed: 5,0.1,Unnamed: 6,42,Unnamed: 7,2,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,लसद्धाथ ुनगर,,0.0,,0.0,,11525.0,,0.0,,102.0,,2.0,,,,,
1,,46,,कुशीनगर,,0.0,,0.0,,16241.0,,0.0,,235.0,,1.0,,,,,
2,,47,,अम्बडेकर नगर,,0.0,,0.0,,5969.0,,0.0,,167.0,,1.0,,,,,
3,,48,,बस्ती,,1.0,,1.0,,12805.0,,0.0,,337.0,,1.0,,,,,
4,,49,,बहराइच,,0.0,,0.0,,13418.0,,0.0,,178.0,,1.0,,,,,
5,,50,,भदोही,,1.0,,0.0,,8488.0,,0.0,,166.0,,1.0,,,,,
6,,51,,क्रिरोजाबाद,,0.0,,4.0,,10586.0,,0.0,,136.0,,1.0,,,,,
7,,52,,गाजीपरु,,0.0,,0.0,,23879.0,,0.0,,295.0,,1.0,,,,,
8,,53,,हापड़ु,,0.0,,0.0,,15200.0,,0.0,,224.0,,1.0,,,,,
9,,54,,मऊ,,0.0,,0.0,,8940.0,,0.0,,86.0,,1.0,,,,,
10,,55,,रामपरु,,0.0,,1.0,,14617.0,,0.0,,153.0,,1.0,,,,,
11,,56,,सतं कबीर नगर,,0.0,,0.0,,8854.0,,0.0,,101.0,,1.0,,,,,
12,,57,,शामली,,0.0,,0.0,,16704.0,,0.0,,48.0,,1.0,,,,,
13,,58,,सीतापरु,,0.0,,0.0,,15767.0,,0.0,,189.0,,1.0,,,,,
14,,59,,अमठेी,,0.0,,0.0,,11520.0,,0.0,,145.0,,0.0,,,,,
15,,60,,अयोध्या,,0.0,,0.0,,18684.0,,0.0,,293.0,,0.0,,,,,
16,,61,,बदाय,,0.0,,1.0,,17915.0,,0.0,,101.0,,0.0,,,,,
17,,62,,बललया,,0.0,,0.0,,22518.0,,0.0,,246.0,,0.0,,,,,
18,,63,,बलरामपरु,,0.0,,0.0,,8123.0,,0.0,,139.0,,0.0,,,,,
19,,64,,बाराबकंी,,0.0,,0.0,,23714.0,,0.0,,227.0,,0.0,,,,,
20,,65,,बरेली,,0.0,,0.0,,50112.0,,0.0,,377.0,,0.0,,,,,
21,,66,,चचत्रकट,,0.0,,0.0,,7781.0,,0.0,,79.0,,0.0,,,,,
22,,67,,देवररया,,0.0,,0.0,,22409.0,,0.0,,230.0,,0.0,,,,,
23,,68,,एटा,,0.0,,0.0,,12107.0,,0.0,,100.0,,0.0,,,,,
24,,69,,हाथरस,,0.0,,0.0,,3720.0,,0.0,,43.0,,0.0,,,,,
25,,70,,कानपरु देहात,,0.0,,0.0,,7127.0,,0.0,,111.0,,0.0,,,,,
26,,71,,कौशाम्बी,,0.0,,0.0,,4880.0,,0.0,,72.0,,0.0,,,,,
27,,72,,लमर्ाुपरु,,0.0,,0.0,,11960.0,,0.0,,126.0,,0.0,,,,,
28,,73,,पीलीभीत,,0.0,,0.0,,12730.0,,0.0,,205.0,,0.0,,,,,
29,,74,,प्रतापगढ़,,0.0,,0.0,,16758.0,,0.0,,163.0,,0.0,,,,,
30,,75,,शाहजहांपरु,,0.0,,0.0,,24408.0,,0.0,,447.0,,0.0,,,,,
31,,Total,,,,,,,129.0,,202.0,,2053447.0,,0.0,,23513.0,,1024.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 23513 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
