"D
      
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 18.08.2022","","","","","",""
"","","","","","",""
"","The first case of Corona Virus infection, which has caused a pandemic  resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective 
intervention  in 
the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","1782","",""
"","","2","Total Discharges","3987317","",""
"","","3","Today's Tests Conducted","29904","",""
"","","4","Total Tests Conducted","68301037","",""
"","","5","Today’s New Cases Reported (17.08.2022, 00:00 to 23:59)","2329","",""
"","","6","Total Active Cases","9307","",""
"","","7","Today's Deaths Reported","4","",""
"","","8","Total Covid Deaths","40159","",""
"","","9","Total Positive Cases","4036825","",""
"","","10","Positivity Rate for the day (17.08.2022, 00:00 to 23:59)","7.78%","",""
"","","11","*Weekly Total Positivity Rate","6.61%","",""
"","","12","Case Fatality Rate (CFR) for the day (17.08.2022, 00:00 to 23:59)","0.17%","",""
"","","13","*Weekly Case Fatality Rate","0.24%","",""
"*From  12-08-2022 to  18-08-2022 
Particulars 
Today’s 
Cumulative 
A 
Total Passengers screened at Air ports 
4648* 
1384666 
          *Date: 17-08-2022 
 
Date: 18-08-2022 
Page 1 of 10","","","","","",""
