"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","506","12","0","8","36"
"2","ALWAR","982","10","0","10","30"
"3","BANSWARA","71","0","0","0","6"
"4","BARAN","157","2","0","0","2"
"5","BARMER","45","0","0","0","0"
"6","BHARATPUR","38","0","0","0","1"
"7","BHILWARA","195","0","0","0","6"
"8","BIKANER","498","0","0","4","16"
"9","BUNDI","124","2","0","1","9"
"10","CHITTORGARH","166","1","0","4","18"
"11","CHURU","125","0","0","0","0"
"12","DAUSA","465","2","0","6","4"
"13","DHOLPUR","111","0","0","0","0"
"14","DUNGARPUR","174","1","0","0","10"
"15","GANGANAGAR","110","0","0","0","2"
"16","HANUMANGARH","221","0","0","1","0"
"17","JAIPUR","1449","13","0","15","93"
"18","JAISALMER","5","0","0","0","0"
"19","JALORE","169","1","0","0","2"
"20","JHALAWAR","281","0","0","0","2"
"21","JHUNJHUNU","354","0","0","0","0"
"22","JODHPUR","196","4","0","7","37"
"23","KARAULI","227","0","0","1","1"
"24","KOTA","925","9","0","9","56"
"25","NAGAUR","290","0","0","0","2"
"26","PALI","399","0","0","0","8"
