"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22959","","5280","","28239",""
"2","Total Active Cases","06 
(0.03%)","","02 
(0.04%)","","08 
(0.03%)",""
"3","Total Cured/Discharged","22785 
(99.2%)","","5218 
(98.8%)","","28003 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","03","","0","","03",""
"6","Total Positive cases in Home Isolation","03","","02","","05",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","92","","40","","132",""
"10","No. of Samples Positive (Today)","00","","00","","00",""
"11","No. of Samples Negative (Today)","92","","40","","132",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","77 
00 
00 
00 
77"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(15/04/2022)","","Test Done Today 
(16/04/2022)","","Cumulative"
"","","a)RTPCR","318314","","104","","318418"
"","","b)TRUENAT","13325","","12","","13337"
"","","c)RAT","347954","","16","","347970"
"","","d)  CBNAAT","1078","","00","","1078"
"","","TOTAL","680671","","132","","680803"
