"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","794698","7","49963","0","447","11","49434","82"
"2","ALWAR","1625512","3","84880","0","321","5","84503","56"
"3","BANSWARA","321710","0","14778","0","106","2","14667","5"
"4","BARAN","241145","0","15311","0","64","1","15246","1"
"5","BARMER","405492","0","21457","0","205","0","21250","2"
"6","BHARATPUR","476346","0","31452","0","272","0","31179","1"
"7","BHILWARA","509500","0","38236","0","162","4","38057","17"
"8","BIKANER","755623","11","50247","0","589","1","49549","109"
"9","BUNDI","236609","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","454197","2","29426","0","140","1","29276","10"
"11","CHURU","437127","0","20927","0","115","0","20797","15"
"12","DAUSA","296388","0","15879","0","81","2","15793","5"
"13","DHOLPUR","288929","0","13966","0","49","0","13917","0"
"14","DUNGARPUR","328021","0","25499","0","134","0","25365","0"
"15","GANGANAGAR","423332","0","28179","0","158","1","28010","11"
"16","HANUMANGARH","489285","0","22529","0","115","0","22410","4"
"17","JAIPUR","3469221","43","277261","1","2114","48","274756","391"
"18","JAISALMER","242863","0","17036","0","68","0","16968","0"
"19","JALORE","447690","0","10564","0","78","0","10481","5"
"20","JHALAWAR","411247","0","17763","0","207","3","17555","1"
"21","JHUNJHUNU","493813","0","19161","0","181","0","18979","1"
"22","JODHPUR","1432009","16","141386","0","1164","0","140112","110"
"23","KARAULI","242483","0","8968","0","84","0","8884","0"
