"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1557036","20547500"
"2","Total No. of patients tested Positive","22627","783155"
"3","No. of patients discharged","21462","761736"
"4","Total Deaths reported","172","20478"
"5","Sample collected on the day","","11063"
"6","Test conducted on the day","","11042"
"7","Positive cases on the day","","116"
"8","Number of active Cases","","941"
"9","No. of Patients on oxygen support","","40"
"10","Patients at critical care Level-3 facilities","","10"
"11","Patients who are critical and on ventilator support","","1"
"12","Healthcare Workers vaccinated with 1st dose on the day","","2"
"13","Total Healthcare Workers vaccinated with 1st dose","","218859"
"14","Frontline Workers vaccinated with 1st dose on the day","","5"
"15","Total Frontline Workers vaccinated with 1st dose","","1117870"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","8"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211835"
"18","Frontline Workers vaccinated with 2nd dose on the day","","49"
"19","Total Frontline Workers vaccinated with 2nd dose","","1018783"
"20","Above 45 Vaccinated with 1st dose on the day","","177"
"21","Total Above 45 Vaccinated with 1st dose","","8344074"
"22","Above 45 Vaccinated with 2nd dose on the day","","760"
"23","Total Above 45 Vaccinated with 2nd dose","","7638114"
"24","18-44 years age group Vaccinated with 1st dose on the day","","504"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12651768"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","2120"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10657379"
"28","15-17 years age group Vaccinated with 1st dose on the day","","184"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1111089"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","554"
"31","Total 15-17 years age group Vaccinated with 2nd dose","","849917"
"32","12-14 years age group Vaccinated with 1st dose on the day","","510"
"33","Total 12-14 years age group Vaccinated with 1st dose","","664479"
"34","12-14 years age group Vaccinated with 2nd dose on the day","","914"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","459914"
"36","Precautionary dose given on the day","","12005"
"37","Total Precautionary dose given","","1586556"
"38","Total Vaccination 1st dose on the day","","688"
"39","Total Vaccination 2nd dose on the day","","2937"
"40","Total Vaccination 1st and 2nd dose on the day","","3625"
