"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Disc
harged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","644611","3","37855","0","410","2","37426","19"
"2","ALWAR","1300153","0","59742","0","307","4","59418","17"
"3","BANSWARA","246509","0","10005","0","104","0","9901","0"
"4","BARAN","171978","0","12000","0","61","0","11936","3"
"5","BARMER","338844","2","15585","0","186","3","15393","6"
"6","BHARATPUR","390602","0","19604","0","260","0","19341","3"
"7","BHILWARA","410109","2","29788","0","156","0","29627","5"
"8","BIKANER","609813","0","40401","0","546","1","39836","19"
"9","BUNDI","183708","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","372521","0","19809","0","139","0","19670","0"
"11","CHURU","331482","0","16723","0","108","1","16615","0"
"12","DAUSA","219311","0","13356","0","62","0","13292","2"
"13","DHOLPUR","230480","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","258683","0","18412","0","131","2","18281","0"
"15","GANGANAGAR","347033","0","19360","0","151","0","19207","2"
"16","HANUMANGARH","400026","1","16076","0","111","0","15945","20"
"17","JAIPUR","2609612","16","188178","0","1971","12","186096","111"
"18","JAISALMER","210680","0","13646","0","66","0","13580","0"
"19","JALORE","386077","0","10068","0","72","0","9995","1"
"20","JHALAWAR","300617","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","394734","1","14823","0","158","1","14655","10"
"22","JODHPUR","1180096","0","112439","0","1103","2","111326","10"
"23","KARAULI","179164","0","7156","0","70","0","7086","0"
