"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","781456","0","49717","0","446","2","49268","3"
"2","ALWAR","1587788","0","84453","0","320","0","84133","0"
"3","BANSWARA","312902","0","14763","0","106","0","14656","1"
"4","BARAN","230540","0","15247","0","64","0","15183","0"
"5","BARMER","401086","0","21454","0","205","0","21249","0"
"6","BHARATPUR","476146","0","31450","0","272","0","31178","0"
"7","BHILWARA","503967","0","38176","0","162","0","38014","0"
"8","BIKANER","731626","0","49899","0","586","0","49309","4"
"9","BUNDI","229887","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","449243","0","29374","0","140","0","29234","0"
"11","CHURU","430909","0","20819","0","114","0","20705","0"
"12","DAUSA","287025","0","15774","0","80","0","15693","1"
"13","DHOLPUR","277537","0","13751","0","49","1","13701","1"
"14","DUNGARPUR","327104","0","25497","0","134","0","25363","0"
"15","GANGANAGAR","421109","0","28136","0","158","0","27978","0"
"16","HANUMANGARH","486783","0","22516","0","114","0","22402","0"
"17","JAIPUR","3352310","7","274489","0","2111","16","272305","73"
"18","JAISALMER","241695","0","17036","0","68","0","16968","0"
"19","JALORE","441765","0","10545","0","78","0","10467","0"
"20","JHALAWAR","383549","0","17707","0","207","0","17500","0"
"21","JHUNJHUNU","490543","0","19158","0","181","0","18977","0"
"22","JODHPUR","1408327","1","141085","0","1164","1","139913","8"
"23","KARAULI","236123","0","8968","0","84","0","8884","0"
