"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","303718","19292579"
"2","Total No. of patients tested Positive","587","759673"
"3","No. of patients discharged","494","741744"
"4","Total Deaths reported","4","17751"
"5","Sample collected on the day","","10817"
"6","Test conducted on the day","","7779"
"7","Positive cases on the day","","29"
"8","Number of active Cases","","178"
"9","No. of Patients on oxygen support","","5"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218555"
"14","Frontline Workers vaccinated with 1st dose on the day","","5"
"15","Total Frontline Workers vaccinated with 1st dose","","1117036"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","12"
"17","Total Healthcare Workers vaccinated with 2nd dose","","209501"
"18","Frontline Workers vaccinated with 2nd dose on the day","","30"
"19","Total Frontline Workers vaccinated with 2nd dose","","1010021"
"20","Above 45 Vaccinated with 1st dose on the day","","154"
"21","Total Above 45 Vaccinated with 1st dose","","8280455"
"22","Above 45 Vaccinated with 2nd dose on the day","","2395"
"23","Total Above 45 Vaccinated with 2nd dose","","6988735"
"24","18-44 years age group Vaccinated with 1st dose on the day","","470"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12465089"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","5456"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9313556"
"28","15-17 years age group Vaccinated with 1st dose on the day","","543"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1032833"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","1225"
"31","Total 15-17 years age group Vaccinated with 2nddose","","604535"
"32","12-14 years age group Vaccinated with 1st dose on the day","","1691"
"33","Total 12-14 years age group Vaccinated with 1st dose","","454673"
"34","12-14 years age group Vaccinated with 2nddose on the day","","1247"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","111326"
"36","Precautionary dose given on the day","","1237"
"37","Total Precautionary dose given","","549510"
"38","Total Vaccination 1st dose on the day","","630"
"39","Total Vaccination 2nd dose on the day","","7893"
"40","Total Vaccination 1st and 2nd dose on the day","","8523"
