"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","97","109874","73","107562","1","2280","32"
"2","SAS Nagar","126","95817","87","94620","0","1148","49"
"3","Jalandhar","70","78344","54","76754","0","1578","12"
"4","Patiala","61","62095","44","60616","0","1458","21"
"5","Amritsar","28","59423","21","57729","0","1682","12"
"6","Bathinda","23","50893","16","49794","0","1088","11"
"7","Hoshiarpur","47","40885","51","39783","0","1096","6"
"8","Gurdaspur","10","26949","10","26083","1","865","1"
"9","Pathankot","26","24562","27","24060","0","495","7"
"10","Fazilka","10","23408","20","22859","0","545","4"
"11","Muktsar","6","22560","9","22019","0","539","2"
"12","Kapurthala","21","22054","15","21467","1","583","4"
"13","Ropar","7","17945","5","17488","0","455","2"
"14","Ferozepur","7","17906","8","17368","0","537","1"
"15","Mansa","3","17231","1","16837","0","392","2"
"16","Faridkot","16","16802","18","16459","0","338","5"
"17","Sangrur","0","14308","0","13573","0","735","0"
"18","SBS Nagar","15","13417","16","13004","0","409","4"
"19","FG Sahib","7","11841","7","11487","0","354","0"
"20","Moga","2","10990","3","10734","1","255","1"
"21","Tarn Taran","1","10900","1","10506","0","394","0"
"22","Barnala","4","7502","8","7151","0","349","2"
"23","Malerkotla","0","3967","0","3791","0","176","0"
"","Total","587","759673","494","741744","4","17751","178"
