"S. No","Subject","Number"
"1","Total Number of people vaccinated on 21st Jan","4,07,484"
"2","First Dose on 21st Jan","94,548"
"3","Second Dose on 21st Jan","2,68,582"
"4","Precaution Dose on 21st Jan","44,354"
"5","Cumulative Vaccination till 21st Jan","11,56,16,088"
"6","Cumulative Vaccination First Dose","6,83,95,787"
"7","Cumulative Vaccination Second Dose","4,67,52,879"
"8","Cumulative Precaution Dose","4,67,422"
"9","Number of CVC (Common Vaccination Centres)","4,223"
"10","Cumulative AEFI cases reported","6,643"
"11","Vaccine wastage","-7%"
