"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","783450","1","49726","0","446","1","49272","8"
"2","ALWAR","1595040","0","84467","0","320","0","84133","14"
"3","BANSWARA","314746","0","14763","0","106","0","14657","0"
"4","BARAN","232095","0","15247","0","64","0","15183","0"
"5","BARMER","401712","0","21454","0","205","0","21249","0"
"6","BHARATPUR","476194","0","31450","0","272","0","31178","0"
"7","BHILWARA","505036","0","38179","0","162","0","38014","3"
"8","BIKANER","734601","0","49903","0","586","0","49315","2"
"9","BUNDI","231269","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","450239","1","29375","0","140","0","29234","1"
"11","CHURU","432327","0","20819","0","114","0","20705","0"
"12","DAUSA","288444","0","15775","0","80","0","15695","0"
"13","DHOLPUR","278963","4","13772","0","49","0","13705","18"
"14","DUNGARPUR","327284","0","25497","0","134","0","25363","0"
"15","GANGANAGAR","421523","0","28137","0","158","0","27978","1"
"16","HANUMANGARH","487262","0","22516","0","114","0","22402","0"
"17","JAIPUR","3369203","26","274738","0","2111","21","272436","191"
"18","JAISALMER","241935","0","17036","0","68","0","16968","0"
"19","JALORE","442711","0","10545","0","78","0","10467","0"
"20","JHALAWAR","386734","0","17707","0","207","0","17500","0"
"21","JHUNJHUNU","491210","0","19158","0","181","0","18977","0"
"22","JODHPUR","1412877","1","141090","0","1164","0","139923","3"
"23","KARAULI","236304","0","8968","0","84","0","8884","0"
