"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","4,839"
"2","Number of persons tested positive today in Tamil Nadu","426"
"3","Total Number of persons tested positive till date","35,74,093"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","16,811/ 
6,91,25,410@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","16,660/ 
6,79,10,000"
"6","No. of Male / Female / Transgender tested positive today","243/183/0"
"7","No. of Male / Female / Transgender tested positive till date","20,84,300/14,89,755/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","453/ 
35,31,216"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,038"
