"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Dis
charged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","611091","3","37777","0","410","0","37359","8"
"2","ALWAR","1215255","0","59695","0","307","0","59387","1"
"3","BANSWARA","221240","0","10005","0","104","0","9901","0"
"4","BARAN","153726","0","11996","0","61","0","11935","0"
"5","BARMER","325533","0","15568","0","185","0","15378","5"
"6","BHARATPUR","380395","0","19601","0","260","0","19341","0"
"7","BHILWARA","382763","0","29782","0","156","0","29625","1"
"8","BIKANER","587928","0","40347","0","545","0","39795","7"
"9","BUNDI","170955","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","352917","0","19809","0","139","0","19670","0"
"11","CHURU","311179","0","16720","0","107","0","16613","0"
"12","DAUSA","204547","0","13351","0","62","0","13289","0"
"13","DHOLPUR","221218","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","241822","0","18407","0","131","0","18276","0"
"15","GANGANAGAR","327052","0","19355","0","150","0","19204","1"
"16","HANUMANGARH","364645","0","16053","0","111","0","15942","0"
"17","JAIPUR","2493095","8","187849","0","1970","1","185836","43"
"18","JAISALMER","202570","0","13639","0","66","0","13573","0"
"19","JALORE","369600","0","10067","0","72","0","9995","0"
"20","JHALAWAR","272096","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","362351","0","14811","0","158","0","14653","0"
"22","JODHPUR","1145644","0","112415","0","1103","0","111309","3"
"23","KARAULI","166484","0","7156","0","70","0","7086","0"
