"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","785364","0","49736","1","447","0","49286","3"
"2","ALWAR","1601628","11","84515","0","320","1","84160","35"
"3","BANSWARA","316278","0","14765","0","106","0","14657","2"
"4","BARAN","233527","0","15249","0","64","0","15185","0"
"5","BARMER","402467","0","21454","0","205","0","21249","0"
"6","BHARATPUR","476231","0","31451","0","272","0","31178","1"
"7","BHILWARA","505898","0","38181","0","162","0","38017","2"
"8","BIKANER","737950","0","49910","0","586","1","49321","3"
"9","BUNDI","232503","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","450942","0","29377","0","140","0","29237","0"
"11","CHURU","433232","5","20824","0","114","0","20705","5"
"12","DAUSA","289774","0","15790","0","80","3","15702","8"
"13","DHOLPUR","282162","11","13916","0","49","4","13758","109"
"14","DUNGARPUR","327535","0","25497","0","134","0","25363","0"
"15","GANGANAGAR","422032","1","28140","0","158","0","27980","2"
"16","HANUMANGARH","487704","0","22518","0","114","0","22402","2"
"17","JAIPUR","3390170","41","275330","0","2112","61","272820","398"
"18","JAISALMER","242180","0","17036","0","68","0","16968","0"
"19","JALORE","443906","0","10545","0","78","0","10467","0"
"20","JHALAWAR","390129","0","17709","0","207","0","17500","2"
"21","JHUNJHUNU","491714","0","19158","0","181","0","18977","0"
"22","JODHPUR","1416375","0","141100","0","1164","0","139932","4"
"23","KARAULI","237270","0","8968","0","84","0","8884","0"
