"S. No","Subject","Number"
"1","Total Number of people vaccinated on 18th Feb","2,71,870"
"2","First Dose on 18th Feb","21,587"
"3","Second Dose on 18th Feb","2,30,657"
"4","Precaution Dose on 18th Feb","19,626"
"5","Cumulative Vaccination till 18th Feb","12,70,31,772"
"6","Cumulative Vaccination First Dose","6,95,20,587"
"7","Cumulative Vaccination Second Dose","5,60,19,933"
"8","Cumulative Precaution Dose","14,91,252"
"9","Number of CVC (Common Vaccination Centres)","3,879"
"10","Cumulative AEFI cases reported","6,913"
"11","Vaccine wastage","-7%"
