"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","20530","","4125","","24655",""
"2","Total Active Cases","1044 
(5.1%)","","211 
(5.1%)","","1255 
(5.1%)",""
"3","Total Cured/ Discharged","19322 
(94.1%)","","3856                                  
(93.5%)","","(94%)",""
"4","Total Died","164 
(0.80%)","","58 
(1.4%)","","222 
(0.90%)",""
"5","Total Positive cases admitted in COVID 
Hospital","29","","13","","42",""
"6","Total Positive cases in Home Isolation","861","","198","","1059",""
"7","COVID Care Centre","112","","0","","112",""
"8","Facility Isolation","42","","0","","42",""
"9","No. of Samples Tested (Today)","654","","206","","860",""
"10","No. of Samples Positive (Today)","148","","11","","159",""
"11","No. of Samples Negative (Today)","502","","195","","697",""
"12","Repeat Positive/ Resampling (Today)","04","","00","","04",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","479 
          00 
      00 
           74 
          553"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(22/01/2022)","","Test Done Today 
(23/01/2022)","","Cumulative"
"","","a)  RTPCR","270495","","633","","271128"
"","","b)  TRUENAT","11509","","08","","11517"
"","","c)  RAT","342063","","193","","342256"
"","","d)  CBNAAT","262","","26","","288"
"","","TOTAL","624329","","860","","625189"
