"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","1002","9","0","30","139"
"2","ALWAR","1700","107","0","105","561"
"3","BANSWARA","169","2","0","3","19"
"4","BARAN","260","0","0","0","3"
"5","BARMER","54","1","0","0","2"
"6","BHARATPUR","1002","72","0","86","334"
"7","BHILWARA","776","28","0","3","47"
"8","BIKANER","1108","1","0","9","28"
"9","BUNDI","220","5","0","0","62"
"10","CHITTORGARH","703","25","0","3","170"
"11","CHURU","417","0","0","2","0"
"12","DAUSA","549","26","0","3","116"
"13","DHOLPUR","65","0","0","0","15"
"14","DUNGARPUR","319","1","0","13","65"
"15","GANGANAGAR","145","1","0","1","8"
"16","HANUMANGARH","264","1","0","1","7"
"17","JAIPUR","2784","96","1","190","1300"
"18","JAISALMER","124","1","0","0","24"
"19","JALORE","120","2","0","0","18"
"20","JHALAWAR","406","2","1","9","17"
"21","JHUNJHUNU","606","1","0","1","1"
"22","JODHPUR","549","28","0","20","116"
"23","KARAULI","331","0","0","0","1"
"24","KOTA","716","9","0","4","66"
"25","NAGAUR","660","18","0","7","94"
"26","PALI","1133","3","0","0","78"
