"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","391","0","0","5","30"
"2","ALWAR","936","4","0","1","18"
"3","BANSWARA","72","0","0","0","0"
"4","BARAN","194","2","0","1","3"
"5","BARMER","58","0","0","0","0"
"6","BHARATPUR","45","1","0","0","3"
"7","BHILWARA","134","0","0","0","2"
"8","BIKANER","484","1","0","0","6"
"9","BUNDI","136","0","0","0","1"
"10","CHITTORGARH","123","3","0","0","8"
"11","CHURU","103","0","0","0","0"
"12","DAUSA","465","0","0","0","2"
"13","DHOLPUR","247","0","0","0","0"
"14","DUNGARPUR","20","0","0","0","11"
"15","GANGANAGAR","62","0","0","0","2"
"16","HANUMANGARH","115","0","0","0","0"
"17","JAIPUR","1136","5","0","13","54"
"18","JAISALMER","11","0","0","0","0"
"19","JALORE","65","0","0","0","4"
"20","JHALAWAR","308","0","0","1","1"
"21","JHUNJHUNU","295","0","0","0","0"
"22","JODHPUR","157","1","0","5","24"
"23","KARAULI","185","0","0","0","0"
"24","KOTA","810","8","0","3","41"
"25","NAGAUR","292","0","0","0","0"
"26","PALI","232","1","0","0","12"
