"Sr. No.","District/MunicipalCorporation","COVID-19 
cases","Recovered 
patients","Deaths","Deaths due 
to 
othercauses","Active cases"
"1","Mumbai","758467","735954","16276","2522","3715"
"2","Thane","611078","597932","11490","35","1621"
"3","Palghar","138164","134503","3289","14","358"
"4","Raigad","196232","191109","4553","7","563"
"5","Ratnagiri","79003","76405","2488","5","105"
"6","Sindhudurg","52839","51164","1439","15","221"
"7","Pune","1156193","1133175","19622","349","3047"
"8","Satara","250604","243733","6443","31","397"
"9","Sangli","209843","203964","5614","9","256"
"10","Kolhapur","206720","200740","5847","5","128"
"11","Solapur","210663","204637","5558","110","358"
"12","Nashik","411036","401722","8682","1","631"
"13","Ahmednagar","340172","330934","7067","1","2170"
"14","Jalgaon","139944","137190","2714","32","8"
