"Sr. No.","District/MunicipalCorporation","COVID-19 
cases","Recovered 
patients","Deaths","Deaths due 
to 
othercauses","Active cases"
"15","Nandurbar","40007","39055","948","3","1"
"16","Dhule","46176","45509","654","11","2"
"17","Aurangabad","155454","150733","4252","14","455"
"18","Jalna","60628","59397","1210","1","20"
"19","Beed","103799","100913","2809","7","70"
"20","Latur","92161","89668","2437","6","50"
"21","Parbhani","52382","51092","1233","19","38"
"22","Hingoli","18477","17959","506","1","11"
"23","Nanded","90427","87742","2658","7","20"
"24","Osmanabad","67871","65647","1969","116","139"
"25","Amravati","96236","94618","1594","2","22"
"26","Akola","58774","57324","1425","4","21"
"27","Washim","41664","41021","637","3","3"
"28","Buldhana","85530","84718","797","6","9"
"29","Yavatmal","75972","74164","1798","4","6"
"30","Nagpur","493632","484386","9128","71","47"
"31","Wardha","57347","55958","1217","165","7"
"32","Bhandara","60081","58946","1123","10","2"
"33","Gondia","40519","39941","569","7","2"
"34","Chandrapur","88973","87387","1562","4","20"
"35","Gadchiroli","30442","29737","669","33","3"
"","Other states/country","144","31","111","2","0"
"","Total","6617654","6459108","140388","3632","14526"
