"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","21986","","5076","","27062",""
"2","Total Active Cases","511 
(2.3%)","","262 
(5.2%)","","773 
(2.9%)",""
"3","Total Cured/ Discharged","21308 
(96.9%)","","4755                                  
(93.7%)","","(96.3%)",""
"4","Total Died","167 
(0.76%)","","59 
(1.2%)","","226 
(0.84%)",""
"5","Total Positive cases admitted in COVID 
Hospital","21","","3","","24",""
"6","Total Positive cases in Home Isolation","377","","258","","635",""
"7","COVID Care Centre","106","","01","","107",""
"8","Facility Isolation","07","","0","","07",""
"9","No. of Samples Tested (Today)","490","","421","","911",""
"10","No. of Samples Positive (Today)","39","","31","","70",""
"11","No. of Samples Negative (Today)","449","","390","","839",""
"12","Repeat Positive/ Resampling (Today)","02","","00","","02",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","789 
        00 
        00 
        46 
       835"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(07/01/2022)","","Test Done Today 
(08/02/2022)","","Cumulative"
"","","a)  RTPCR","283445","","756","","284201"
"","","b)  TRUENAT","11846","","30","","11876"
"","","c)  RAT","344722","","109","","344831"
"","","d)  CBNAAT","454","","16","","470"
"","","TOTAL","640467","","911","","641378"
