"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","4,115"
"2","Number of persons tested positive today in Tamil Nadu","279"
"3","Total Number of persons tested positive till date","35,89,013"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","11,475/ 
6,96,26,276@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","11,366/ 
6,84,05,655"
"6","No. of Male / Female / Transgender tested positive today","167/112/0"
"7","No. of Male / Female / Transgender tested positive till date","20,92,690/14,96,285/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","326/ 
35,46,850"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,048"
