"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","803113","5","50345","0","451","0","49771","123"
"2","ALWAR","1639117","15","85335","0","321","21","84845","169"
"3","BANSWARA","324530","7","14858","0","106","0","14702","50"
"4","BARAN","245259","4","15334","1","65","0","15260","9"
"5","BARMER","408177","1","21522","0","205","0","21303","14"
"6","BHARATPUR","476578","4","31463","0","274","0","31184","5"
"7","BHILWARA","512124","8","38510","0","162","0","38248","100"
"8","BIKANER","773188","9","50832","1","594","23","50169","69"
"9","BUNDI","237483","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","456545","10","29556","0","140","0","29373","43"
"11","CHURU","439486","5","21021","0","115","0","20884","22"
"12","DAUSA","302454","25","16117","0","82","11","15891","144"
"13","DHOLPUR","291764","0","13980","0","49","0","13920","11"
"14","DUNGARPUR","330487","13","25593","0","134","0","25418","41"
"15","GANGANAGAR","423770","1","28199","0","160","0","28035","4"
"16","HANUMANGARH","490148","2","22553","0","115","0","22431","7"
"17","JAIPUR","3514046","171","279472","0","2116","40","276454","902"
"18","JAISALMER","244221","1","17158","0","68","0","17032","58"
"19","JALORE","451939","7","10694","0","78","0","10571","45"
"20","JHALAWAR","423852","7","17837","0","208","3","17597","32"
"21","JHUNJHUNU","495210","0","19161","0","181","0","18980","0"
"22","JODHPUR","1446150","39","142591","0","1164","42","141230","197"
"23","KARAULI","245734","0","8971","0","85","1","8886","0"
