"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","779931","0","49712","0","446","2","49262","4"
"2","ALWAR","1581362","0","84453","0","320","2","84129","4"
"3","BANSWARA","311237","0","14762","0","106","0","14656","0"
"4","BARAN","229252","0","15247","0","64","0","15181","2"
"5","BARMER","400544","0","21454","0","205","0","21249","0"
"6","BHARATPUR","476081","0","31450","0","272","1","31178","0"
"7","BHILWARA","503005","0","38176","0","162","0","38014","0"
"8","BIKANER","728732","0","49893","0","586","1","49301","6"
"9","BUNDI","228795","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","448434","0","29374","0","140","1","29232","2"
"11","CHURU","429654","0","20819","0","114","2","20705","0"
"12","DAUSA","286144","0","15773","0","80","0","15693","0"
"13","DHOLPUR","276095","1","13749","0","49","0","13699","1"
"14","DUNGARPUR","326905","0","25497","0","134","0","25363","0"
"15","GANGANAGAR","420586","0","28136","0","158","0","27978","0"
"16","HANUMANGARH","486299","0","22516","0","114","0","22400","2"
"17","JAIPUR","3339390","3","274396","0","2111","10","272229","56"
"18","JAISALMER","241449","0","17036","0","68","0","16968","0"
"19","JALORE","440921","0","10545","0","78","0","10467","0"
"20","JHALAWAR","379188","0","17707","0","207","0","17499","1"
"21","JHUNJHUNU","489891","0","19158","0","181","0","18977","0"
"22","JODHPUR","1404602","5","141074","0","1164","0","139887","23"
"23","KARAULI","235985","0","8968","0","84","0","8884","0"
