"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","5,070"
"2","Number of persons tested positive today in Tamil Nadu","493"
"","Passengers returned from other countries  by 
International airport tested positive today","Maurtius-1 
UK-1"
"","Passengers returned from other states  by Road tested 
positive today","Chhattisgarh-1"
"","Total","496"
"3","Total Number of persons tested positive till date","35,77,808"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","15,474/ 
6,92,63,293@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","15,334/ 
6,80,46,722"
"6","No. of Male / Female / Transgender tested positive today","287/209/0"
"7","No. of Male / Female / Transgender tested positive till date","20,86,372/14,91,398/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","421/ 
35,34,698"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,040"
