"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","1,461"
"2","Number of persons tested positive today in Tamil Nadu","112"
"3","Total Number of persons tested positive till date","34,51,710"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","42,241/ 
6,49,21,412@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","42,132/ 
6,37,45,664"
"6","No. of Male / Female / Transgender tested positive today","56/56/0"
"7","No. of Male / Female / Transgender tested positive till date","20,14,597/14,37,075/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","334 (69 Govt+ 
265 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","327/ 
34,12,226"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,023"
