"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","8,484"
"2","Number of persons tested positive today in Tamil Nadu","744"
"3","Total Number of persons tested positive till date","27,22,506"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,01,624/ 
5,36,62,064@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,01,363/ 
5,27,31,193"
"6","No. of Male / Female / Transgender tested positive today","438/306/0"
"7","No. of Male / Female / Transgender tested positive till date","15,89,007/11,33,461/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","310 (69 Govt+ 
241 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","782/ 
26,77,607"
"10","Total number of deaths today/ till date","14(5 Private &  
9 Govt) /36,415)"
