"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","797954","15","50100","0","447","0","49575","78"
"2","ALWAR","1630950","10","84971","0","321","12","84608","42"
"3","BANSWARA","322940","1","14785","0","106","0","14677","2"
"4","BARAN","242783","0","15317","0","64","0","15249","4"
"5","BARMER","406556","1","21484","0","205","0","21272","7"
"6","BHARATPUR","476428","0","31454","0","273","0","31180","1"
"7","BHILWARA","510554","0","38318","0","162","0","38118","38"
"8","BIKANER","763115","33","50546","0","590","0","49768","188"
"9","BUNDI","236949","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","455106","3","29449","0","140","0","29296","13"
"11","CHURU","438062","2","20953","0","115","2","20836","2"
"12","DAUSA","298423","3","15903","0","82","0","15807","14"
"13","DHOLPUR","290133","0","13966","0","49","0","13917","0"
"14","DUNGARPUR","328240","0","25516","0","134","0","25370","12"
"15","GANGANAGAR","423512","0","28189","0","158","0","28023","8"
"16","HANUMANGARH","489567","0","22539","0","115","0","22417","7"
"17","JAIPUR","3486713","66","277980","0","2114","38","275458","408"
"18","JAISALMER","243115","0","17036","0","68","0","16968","0"
"19","JALORE","449498","0","10581","0","78","0","10496","7"
"20","JHALAWAR","417306","1","17776","0","207","0","17560","9"
"21","JHUNJHUNU","494459","0","19161","0","181","0","18980","0"
"22","JODHPUR","1437514","54","141802","0","1164","23","140395","243"
"23","KARAULI","243668","0","8969","0","85","0","8884","0"
