"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Disc
harged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","643521","3","37852","0","410","2","37424","18"
"2","ALWAR","1297203","0","59742","0","307","0","59414","21"
"3","BANSWARA","245400","0","10005","0","104","0","9901","0"
"4","BARAN","171357","0","12000","0","61","0","11936","3"
"5","BARMER","338326","0","15583","0","186","0","15390","7"
"6","BHARATPUR","390245","0","19604","0","260","0","19341","3"
"7","BHILWARA","409206","1","29786","0","156","0","29627","3"
"8","BIKANER","609101","1","40401","0","546","0","39835","20"
"9","BUNDI","183349","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","371785","0","19809","0","139","0","19670","0"
"11","CHURU","330700","0","16723","0","108","0","16614","1"
"12","DAUSA","218692","0","13356","0","62","0","13292","2"
"13","DHOLPUR","230305","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","258213","0","18412","0","131","0","18279","2"
"15","GANGANAGAR","346348","1","19360","1","151","1","19207","2"
"16","HANUMANGARH","398512","0","16075","0","111","1","15945","19"
"17","JAIPUR","2605885","7","188162","0","1971","15","186084","107"
"18","JAISALMER","210448","0","13646","0","66","1","13580","0"
"19","JALORE","385494","0","10068","0","72","0","9995","1"
"20","JHALAWAR","300031","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","393268","1","14822","0","158","0","14654","10"
"22","JODHPUR","1178740","0","112439","0","1103","0","111324","12"
"23","KARAULI","178464","0","7156","0","70","0","7086","0"
