"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","353","11","0","9","26"
"2","ALWAR","402","3","0","5","15"
"3","BANSWARA","101","0","0","0","0"
"4","BARAN","141","0","0","0","2"
"5","BARMER","20","0","0","0","0"
"6","BHARATPUR","19","0","0","0","2"
"7","BHILWARA","136","1","0","0","2"
"8","BIKANER","363","1","0","2","7"
"9","BUNDI","56","0","0","0","1"
"10","CHITTORGARH","110","0","0","2","7"
"11","CHURU","74","0","0","0","0"
"12","DAUSA","343","0","0","0","2"
"13","DHOLPUR","144","0","0","0","0"
"14","DUNGARPUR","3","7","0","0","11"
"15","GANGANAGAR","28","0","0","1","1"
"16","HANUMANGARH","130","0","0","0","0"
"17","JAIPUR","935","12","0","5","73"
"18","JAISALMER","10","0","0","0","0"
"19","JALORE","74","0","0","0","4"
"20","JHALAWAR","367","1","0","0","2"
"21","JHUNJHUNU","126","0","0","0","0"
"22","JODHPUR","204","5","0","0","28"
"23","KARAULI","27","0","0","0","1"
"24","KOTA","684","10","0","7","36"
"25","NAGAUR","255","0","0","0","2"
"26","PALI","357","1","0","0","16"
