"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative
Positive","Today's
Death","Cumulative
Death","Today's
Recovered/ 
Discharged","Cumulative
Recovered/ 
Discharged","Active 
Case"
"1","AJMER","799869","15","50200","0","449","15","49651","100"
"2","ALWAR","1634070","23","85083","0","321","13","84663","99"
"3","BANSWARA","323478","7","14797","0","106","1","14679","12"
"4","BARAN","243669","1","15322","0","64","0","15253","5"
"5","BARMER","407328","11","21504","0","205","1","21279","20"
"6","BHARATPUR","476483","0","31457","0","274","0","31181","2"
"7","BHILWARA","511177","7","38390","0","162","17","38173","55"
"8","BIKANER","767519","18","50694","0","592","28","49984","118"
"9","BUNDI","237118","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","455592","3","29492","0","140","3","29309","43"
"11","CHURU","438542","0","20973","0","115","0","20838","20"
"12","DAUSA","299711","3","15942","0","82","0","15821","39"
"13","DHOLPUR","290690","1","13968","0","49","0","13917","2"
"14","DUNGARPUR","328614","7","25540","0","134","0","25382","24"
"15","GANGANAGAR","423594","0","28190","0","158","0","28031","1"
"16","HANUMANGARH","489737","0","22546","0","115","0","22424","7"
"17","JAIPUR","3497074","48","278331","0","2114","66","275866","351"
"18","JAISALMER","243351","0","17058","0","68","0","16968","22"
"19","JALORE","450429","0","10614","0","78","0","10503","33"
"20","JHALAWAR","419534","2","17792","0","207","4","17573","12"
"21","JHUNJHUNU","494699","0","19161","0","181","0","18980","0"
"22","JODHPUR","1441554","40","142223","0","1164","22","140691","368"
"23","KARAULI","244424","0","8970","0","85","0","8884","1"
"24","KOTA","1140262","0","70150","0","477","0","69660","13"
"25","NAGAUR","654423","4","23831","0","201","5","23589","41"
"26","PALI","462768","0","35856","0","299","0","35557","0"
"27","PRATAPGARH","278657","0","11910","0","65","9","11826","19"
"28","RAJSAMAND","302865","0","23131","0","178","0","22895","58"
